version,issue
0c2946d0-b864-4ffc-a0f3-4a9d25b42425,Missing phelps code (not fixed)
0c515acc-b603-431c-896a-d75d7fa0932b,Missing phelps code (not fixed)
0c79f328-e5ea-481b-b68a-c1e6e3b82431,Missing phelps code (not fixed)
0c84bd11-3e6c-4c0f-943a-bbbaebb826bd,Missing phelps code (not fixed)
0ce37f30-af82-44d8-8200-5d1f399ce1eb,Missing phelps code (not fixed)
0d156592-230a-495f-8344-dabd13e041cf,Missing phelps code (not fixed)
0d355aa8-a200-4084-b27d-a809076c15f9,Missing phelps code (not fixed)
0d6775d3-5dcf-479d-acba-85b309a53e14,Missing phelps code (not fixed)
0d95a50c-3f82-44c5-9f4d-eee85aa6a622,Missing phelps code (not fixed)
0dbf4aac-8c21-48d1-867d-da774e0b69a2,Missing phelps code (not fixed)
0dc7e230-acca-4f55-bdc0-e556f534dfc1,Missing phelps code (not fixed)
0dd00415-3ec4-4973-8549-b04aa12970e9,Missing phelps code (not fixed)
0ddd05b2-e6c6-41e6-8fa7-de9f2b8a607f,Missing phelps code (not fixed)
0de5465a-b498-41c5-a95e-7cb0ef73abf0,Missing phelps code (not fixed)
0e0c264e-2714-48fc-a9aa-4ed6462d92e0,Missing phelps code (not fixed)
0e6179d1-ee78-4f70-915c-77c81365ff70,Missing phelps code (not fixed)
0e6b4008-97ac-48a6-ac7b-b506458b79f9,Duplicate language el for phelps AB00527 with different content
0ecf8da8-8515-4973-a85e-c72b032acb21,Missing phelps code (not fixed)
0f0d0365-3439-4fd4-8006-fcdb917d107b,Missing phelps code (not fixed)
0f1c39e2-ea4d-4fe9-8158-ff63b2294bf5,Missing phelps code (not fixed)
0f26e1b2-9776-4f7d-b71d-a79bf87bbd19,Missing phelps code (not fixed)
0f38c371-6ca9-4b8e-9e8a-6e634c6ce672,Missing phelps code (not fixed)
0f4b0d14-d3c5-49df-a926-3a4c57c4a634,Missing phelps code (not fixed)
0f4d502b-d2f1-4ef8-a2e0-358155cda1e1,Missing phelps code (not fixed)
0f7281be-2646-4cb6-9f36-80d06ba7f4cb,Missing phelps code (not fixed)
0f7eccea-6162-426a-8aee-7d85f1f70fdd,Missing phelps code (not fixed)
10059b28-f673-478e-a1b8-b8e86d7178b1,Missing phelps code (not fixed)
104273ae-d4aa-4625-94ab-cd2093596724,Duplicate language no for phelps BH04990 with different content
1088ab51-7128-449f-a766-88fba069c4c9,Missing phelps code (not fixed)
10957eae-d3ce-42c4-b7d2-2b8cda5c3e75,Missing phelps code (not fixed)
10c0d8db-8c03-4c89-8677-a247f8240bd8,Missing phelps code (not fixed)
11049740-95c0-4b67-9bc0-5a424ff8e130,Missing phelps code (not fixed)
1119bbcd-2e05-41fc-bc0c-e4381dd49a68,Missing phelps code (not fixed)
1122dfc8-7c16-44e0-b37e-eeb088bf4eb3,Missing phelps code (not fixed)
1139191d-8d96-448a-b5f0-6bbfd9a4df8d,Missing phelps code (not fixed)
1159af7c-1fb2-4ec8-b522-eaeb53144e9e,Missing phelps code (not fixed)
11ea12a4-ce31-4b08-bbe9-3bfed5e50f08,Missing phelps code (not fixed)
11eb53eb-8c51-4be4-94bb-659a9dbae22d,Missing phelps code (not fixed)
11f456ed-36c9-45be-8e0f-492558cbd10c,Missing phelps code (not fixed)
125894ae-27df-419f-a2b2-61114ccbd7d4,Missing phelps code (not fixed)
12b37507-fbb9-4a1f-89c2-39f9fbf955db,Missing phelps code (not fixed)
12def5b7-4997-44ff-b8f5-fbaae0903a9f,Missing phelps code (not fixed)
12e95bcc-b23f-4249-9f5f-7b8a44a11721,Missing phelps code (not fixed)
13393617-66ea-45de-8a04-3e735ba99e1b,Missing phelps code (not fixed)
1344b9cf-a068-4ed3-aed7-9908ddcbae3f,Missing phelps code (not fixed)
135adfbf-7515-434f-824c-60b31bd50e92,Missing phelps code (not fixed)
138c9424-2c6d-422b-8369-49b7ef2bed49,Missing phelps code (not fixed)
13cb8cbe-8634-4853-bc92-182ba109147a,Missing phelps code (not fixed)
13dbd930-7f48-4435-bbe9-88f908bf2cd5,Missing phelps code (not fixed)
13e61b78-f119-426d-990e-917a63a3b1bc,Missing phelps code (not fixed)
13e634cb-995e-4608-b6b4-3a4c292d6945,Duplicate language mg for phelps BB00617 with different content
13ff9ed7-d87b-444f-bd76-ce10b392a112,Missing phelps code (not fixed)
14375bd7-32fd-4789-820b-d37d3e4fff66,Missing phelps code (not fixed)
14a152c6-0eb1-4404-b946-fdac83e10163,Missing phelps code (not fixed)
14bfb2fe-b84f-4aef-a394-d6acd135b1f6,Missing phelps code (not fixed)
14f9029b-b1f5-4490-a921-8fdadfefdca6,Missing phelps code (not fixed)
